frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,laneId,t,t1
6453,323,6.85,22.81,4.35,1.82,31.28,0.18,-0.05,-0.01,5,0.0,0.0
6454,323,8.0,22.81,4.35,1.82,31.27,0.17,-0.05,-0.01,5,0.04,0.04
6455,323,9.19,22.82,4.35,1.82,31.27,0.17,-0.05,-0.02,5,0.08,0.08
6456,323,10.4,22.83,4.35,1.82,31.27,0.17,-0.05,-0.03,5,0.12,0.12
6457,323,11.63,22.83,4.35,1.82,31.27,0.17,-0.05,-0.03,5,0.16,0.16
6458,323,12.87,22.84,4.35,1.82,31.27,0.16,-0.06,-0.04,5,0.2,0.2
6459,323,14.11,22.85,4.35,1.82,31.27,0.16,-0.06,-0.05,5,0.24,0.24
6460,323,15.36,22.85,4.35,1.82,31.26,0.16,-0.07,-0.05,5,0.28,0.28
6461,323,16.61,22.86,4.35,1.82,31.26,0.15,-0.07,-0.06,5,0.32,0.32
6462,323,17.87,22.86,4.35,1.82,31.26,0.15,-0.08,-0.06,5,0.36,0.36
6463,323,19.13,22.87,4.35,1.82,31.26,0.15,-0.09,-0.07,5,0.4,0.4
6464,323,20.39,22.88,4.35,1.82,31.25,0.14,-0.1,-0.07,5,0.44,0.44
6465,323,21.65,22.88,4.35,1.82,31.25,0.14,-0.11,-0.08,5,0.48,0.48
6466,323,22.91,22.89,4.35,1.82,31.25,0.13,-0.13,-0.08,5,0.52,0.52
6467,323,24.17,22.89,4.35,1.82,31.24,0.13,-0.14,-0.09,5,0.56,0.56
6468,323,25.42,22.9,4.35,1.82,31.24,0.12,-0.15,-0.09,5,0.6,0.6
6469,323,26.69,22.9,4.35,1.82,31.23,0.12,-0.17,-0.1,5,0.64,0.64
6470,323,27.95,22.91,4.35,1.82,31.22,0.11,-0.18,-0.1,5,0.68,0.68
6471,323,29.21,22.91,4.35,1.82,31.22,0.11,-0.2,-0.1,5,0.72,0.72
6472,323,30.46,22.92,4.35,1.82,31.21,0.1,-0.22,-0.11,5,0.76,0.76
6473,323,31.7,22.92,4.35,1.82,31.2,0.1,-0.24,-0.11,5,0.8,0.8
6474,323,32.95,22.93,4.35,1.82,31.19,0.09,-0.25,-0.11,5,0.84,0.84
6475,323,34.2,22.93,4.35,1.82,31.18,0.08,-0.27,-0.12,5,0.88,0.88
6476,323,35.44,22.93,4.35,1.82,31.17,0.08,-0.29,-0.12,5,0.92,0.92
6477,323,36.69,22.94,4.35,1.82,31.16,0.07,-0.31,-0.12,5,0.96,0.96
6478,323,37.93,22.94,4.35,1.82,31.15,0.06,-0.33,-0.12,5,1.0,1.0
6479,323,39.18,22.94,4.35,1.82,31.13,0.06,-0.35,-0.12,5,1.04,1.04
6480,323,40.43,22.94,4.35,1.82,31.12,0.05,-0.38,-0.13,5,1.08,1.08
6481,323,41.68,22.94,4.35,1.82,31.1,0.04,-0.4,-0.13,5,1.12,1.12
